pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_teff,st_met,star_A,star_A8 V,star_F,star_F V,star_F0,star_F1 V,star_F2,star_F2 V,star_F3 V,star_F4,star_F4 V,star_F5,star_F5 IV,star_F5 V,star_F6,star_F6 IV,star_F6 IV-V,star_F6 V,star_F7,star_F7 V,star_F8,star_F8 V,star_F9,star_F9 IV,star_F9 V,star_F9-F9.5,star_F9/G0,star_G,star_G V,star_G0,star_G0 V,star_G0 VI,star_G1,star_G1 V,star_G2,star_G2 IV,star_G2 V,star_G3,star_G3 IV,star_G3 V,star_G4,star_G4 V,star_G5,star_G5 V,star_G6,star_G6 V,star_G7,star_G7 IV/V,star_G7 V,star_G8,star_G8 IV/V,star_G8 V,star_G9,star_G9 IV,star_G9 V,star_K,star_K V,star_K0,star_K0 IV,star_K0 V,star_K0.0 V,star_K1,star_K1 V,star_K1-K2,star_K1.5+/-1,star_K2,star_K2 V,star_K2.5 V,star_K2V,star_K3,star_K3 V,star_K3.5 V,star_K4,star_K4 V,star_K4.5,star_K5,star_K5 V,star_K6,star_K6 V,star_K6-K7,star_K7,star_K7 V,star_K8 V,star_K9 V/M0 V,star_M,star_M V,star_M(6.1 +/- 0.7) V,star_M0,star_M0 V,star_M0.0 V,star_M0.5,star_M0.5 V,star_M1,star_M1 V,star_M1.0 V,star_M1.0+/-0.5,star_M1.5 V,star_M2,star_M2 V,star_M2.0 V,star_M2.5 V,star_M2.65 V,star_M3,star_M3 V,star_M3+/-1,star_M3.0 V,star_M3.5 +/- 1.0,star_M3.5 V,star_M4,star_M4 &#177 0.5 V,star_M4 +/- 0.5,star_M4 V,star_M4+/-0.5,star_M4.0,star_M4.5 V,star_M4.5+/-0.5,star_M5 V,star_M5.0,star_M5V,star_M6 V,star_m3 V,pl_rade_norm,pl_eqt_norm,pl_orbsmax_norm,habitability_index,star_temp_score,star_met_score,stellar_compatibility_index,habitability_class,predicted_habitability_score
-1.2402550488872006,-0.8404894488059845,-0.9324916543186559,-0.3211460635861955,-0.42708143670489873,-0.8409339616890068,-1.5204064165696631,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02857834826834584,0.1985688729874776,0.3143656716417911,0.8462679771693125,0.7944,0.4423076923076924,0.6535630769230769,1,1.0
-1.2175106124268695,-0.8377287629657619,-0.7438411512866219,-0.32115185881547187,-0.4305831070186952,-0.8091617196972849,-2.5027275654599674,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03531121336885444,0.24105545617173524,0.3136194029850746,0.8267294515867493,0.7988,0.03846153846153855,0.49466461538461537,1,1.0
-1.101170365496688,-0.8347708852798089,-1.0139092398377443,0.4188256101418029,0.1638254287482263,-0.8409339616890068,-1.5204064165696631,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06975054492613224,0.18023255813953487,0.44029850746268656,0.8119470572811959,0.7944,0.4423076923076924,0.6535630769230769,1,1.0
-1.1520589967136872,-0.826143742029113,-0.6207218756236101,-0.43984771652626925,-0.5365086340110331,-0.7639103447393779,-1.2397432311724332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05468636473722452,0.26878354203935595,0.291044776119403,0.8124030820654872,0.8050666666666667,0.5576923076923077,0.7061169230769231,1,1.0
-1.1849484336095615,-0.8347215873183764,-0.24540666432830027,-1.1843349633637563,-1.657918552004297,-1.4773415967353158,1.2394482398364302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.044950351174618555,0.35330948121645794,0.05205223880597016,0.8302856192823755,0.7062666666666666,0.42307692307692313,0.5929907692307692,1,1.0
-1.0761351224863958,-0.8260944440676805,-1.585818133240121,1.9191360011285559,0.9998492161670922,-1.5437744663543707,-1.0994116384738184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07716154032453379,0.05143112701252235,0.6184701492537313,0.8248689032144313,0.6970666666666667,0.6153846153846154,0.6643938461538461,1,1.0
-1.0848074615683925,-0.8172701089712544,-1.623548233846528,2.4395791741568087,1.385032950684685,-1.6535331205075918,-0.25742208228212893,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07459433276822476,0.04293381037567083,0.7005597014925374,0.8128768024439342,0.6818666666666666,0.9615384615384616,0.7937353846153846,1,1.0
-1.2091655314234389,-0.8394048936544685,-1.1946165637947452,-0.4198567833755572,-0.7466088528388108,-1.6535331205075918,-0.25742208228212893,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.037781545168321634,0.1395348837209302,0.24626865671641793,0.8798196971010157,0.6818666666666666,0.9615384615384616,0.7937353846153846,1,1.0
-1.227819241901696,-0.8418697917260958,-1.20057394810102,-0.4045826452852722,-0.7566761549909753,-1.5437744663543707,-1.0994116384738184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03225962702833615,0.1381932021466905,0.24412313432835822,0.8829942414643177,0.6970666666666667,0.6153846153846154,0.6643938461538461,1,1.0
-1.2468002104585187,-0.8284607462164427,-0.9483780124687219,-0.9625758035775097,-1.355549320407987,-1.7180403997029061,-0.02353609445110407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.026640833131508845,0.19499105545617174,0.11649253731343284,0.8880487371022412,0.6729333333333334,0.9423076923076923,0.7806830769230769,1,1.0
