pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_met
14.572,1039.3041,1592.0,2.686502,0.03744,G3 V,5738.0,-0.1
8.709,425.25654,814.0,16.254611,0.1308,G V,5846.0,0.3
14.986,629.3034,2060.0,0.8378434,0.01761,G V,5600.0,0.28
13.092,427.463,1577.0,1.354133,0.023,K,5227.0,0.15
10.682,870.8542,858.0,4.7228124,0.05025,K V,4803.0,0.0
20.849,467.2101,1654.0,2.1605156,0.03397,G V,5780.0,0.28
16.668,775.5052,2067.0,1.3484954,0.02547,F V,6346.0,0.0
14.123,194.82979,1277.0,4.2986432,0.05163,G,5715.0,0.02
19.616,206.5895,1918.0,3.3023881,0.04735,F,6071.0,-0.02
16.814,168.4499,1659.0,4.637038,0.0611,F,6438.0,0.09
13.384,213.58176,1253.0,3.1810781,0.04131,G,5498.0,0.01
14.022,207.54299,1212.0,4.6058749,0.05475,G,5670.0,0.16
15.48,340.382,1648.0,3.547851,0.0485,F,6351.0,-0.157
13.171,224.38798,1414.0,3.1743516,0.04354,G,5943.0,0.06
13.843,1022.14128,1356.0,4.1752387,0.05425,G0 V,6149.0,0.28
11.433,420.471,1315.0,2.516729,0.0362,G,5403.0,0.43
10.223,75.323,1025.0,4.763387,0.0542,G,5304.0,0.19
11.377,239.32479,1429.0,2.5441765,0.037,G6 V,5621.0,0.37
11.187,101.38777,713.0,3.3252725,0.03623,M1 V,3724.0,0.2
6.311,38.1396,1084.0,3.185315,0.04012,K2,4985.0,0.25
11.478,117.5971,587.0,3.7955202,0.03745,M3 V,3405.0,0.17
2.44,12.6,1153.0,9.55237,0.0907,F5 V,6327.0,-0.311
4.35,15.2,886.0,21.05704,0.1536,F5 V,6327.0,-0.311
2.2,5.69,800.0,9.113678,0.0793,K0.0 V,5266.0,-0.2
2.388,6.3,699.0,13.673694,0.1039,K0.0 V,5266.0,-0.2
2.852,8.52,602.0,20.519617,0.1362,K0.0 V,5266.0,-0.2
1.94,3.9,533.0,30.793091,0.1785,K0.0 V,5266.0,-0.2
2.601,5.04,489.0,41.05854,0.2163,K0.0 V,5266.0,-0.2
2.607,8.4,440.0,54.76992,0.2621,K0.0 V,5266.0,-0.2
2.05,4.55,1371.0,2.541,0.035,G,5732.0,0.14
12.554,693.50158,1371.0,6.134989,0.0701,K0 IV,5788.0,0.22
1.31,4.04,2130.0,1.62116,0.02732,G,5799.0,-0.03
1.64,7.51,1001.0,4.75615,0.0522,K1 V,5125.0,0.15
2.39,8.11,642.0,17.1784,0.1268,K1 V,5125.0,0.15
3.53,11.2,748.0,17.471275,0.13,G2 V,5706.0,-0.07
3.39,10.4,893.0,8.88029,0.078,G9 V,5348.0,-0.15
3.41,10.0,880.0,8.8803256,0.0804,G9 V,5348.0,-0.15
3.08,7.2,605.0,28.5805,0.17,G9 V,5348.0,-0.15
3.195,8.0,600.0,28.579743,0.1752,G9 V,5348.0,-0.15
2.995,2.8,540.0,38.353037,0.2132,G9 V,5348.0,-0.15
3.04,5.8,549.0,38.3525,0.207,G9 V,5348.0,-0.15
2.25,6.1,743.0,6.441008,0.0629,K2.5 V,4819.0,0.095
2.501,14.4,632.0,16.202159,0.1163,K0 V,5070.0,-0.042
1.745,8.83,2128.0,1.008035,0.02012,G,5978.0,-0.04
0.892,3.7,701.0,7.78993,0.0695,K4.5,4640.0,0.003
2.0,8.32,543.0,17.667087,0.1162,K4 V,4684.0,-0.2
1.87,3.41,467.0,29.79749,0.1646,K4 V,4684.0,-0.2
0.75,0.55,909.0,3.97664,0.04298,K4 V,4684.0,-0.2
0.818,0.72,723.0,7.90754,0.068,K4 V,4684.0,-0.2
1.137,0.77,630.0,12.1621839,0.0906,K4 V,4684.0,-0.2
1.24,2.14,709.0,2.76953,0.02933,M0 V,3803.0,-0.43
1.533,3.09,557.0,5.70588,0.04749,M0 V,3803.0,-0.43
2.199,18.496,881.0,22.89104,0.1357,F8/G0 V,6120.0,0.0
4.23,7.943,585.0,56.00819,0.308,F8/G0 V,6120.0,0.0
3.25,5.681,506.0,84.25999,0.411,F8/G0 V,6120.0,0.0
9.718,77.55052,876.0,18.71204,0.1436,F8,6089.0,0.036
2.45,7.8,943.0,14.339156,0.1202,F V,6203.0,-0.12
2.884,10.48,911.0,15.611,0.131,F6 V,6252.6,0.143
2.79,10.2,714.0,6.398042,0.0604,K4 V,4511.0,0.0
2.84,15.9,743.0,6.3980661,0.05995,K4,4582.0,-0.055
2.39,9.7,498.0,18.87974,0.1242,K4 V,4511.0,0.0
2.73,22.5,518.0,18.8805,0.1233,K4,4582.0,-0.055
2.16,7.25,1311.0,3.98442,0.049,G1 V,5863.0,0.018
2.49,17.2,460.0,146.05,0.58,G2 V,5861.0,0.06
1.35,7.8,2042.0,1.0391353,0.02085,G0 V,5987.0,0.1
3.228,19.2,1344.0,3.6451398,0.04813,G0 V,5987.0,0.1
3.89,42.44,385.0,55.087,0.262,K0.5 V,5212.0,0.04
2.247,7.55,757.0,9.4903,0.08,K1,5170.0,-0.23
2.53,11.82,690.0,9.1205,0.0906,K1,5089.0,-0.16
22.754,1021.18779,1411.0,0.9809734,0.01782,K4 V,4590.0,0.18
3.0,379.0,1060.0,7.713057,0.0787,G V,5991.0,0.0
2.74,20.0,757.0,10.28891,0.089,K0 V,5198.0,0.27
3.88,21.8,1841.0,1.6739035,0.0301,G0 V,5945.0,0.22
16.141,266.9772,1780.0,3.31392,0.048,F9 IV,6030.0,0.1
2.592,16.7,640.0,13.86375,0.1021,K3 V,5010.0,-0.34
10.424,410.0007,1178.0,5.817608,0.0558,G,5627.0,0.18
0.89,158.915,1471.0,0.179715,0.0058,M3 V,3492.0,0.08
9.057,123.00021,565.0,28.38236,0.179,K0 V,5340.0,0.22
12.274,323.86877,1114.0,6.5693,0.0591,G5,5654.0,0.12
13.563,295.58042,962.0,6.569188,0.068,G6 V,5585.0,0.1
1.54,5.31,2039.0,0.2803226,0.00716,K7 V,4373.0,0.03
2.242,11.44182,729.0,8.8665,0.075,K2 V,5110.0,-0.65
1.75,8.0,1103.0,2.1748,0.028,K5 V,4503.0,0.0
2.5,444.962,2100.0,0.381078,0.0088,M0 V,3830.0,0.03
18.405,392.83788,1838.0,2.1805577,0.0353,F9 V,6099.0,0.0
