pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_met
11.299,133.4886,759.0,52.97818,0.3,F6 V,6394.0,0.24
11.814,408.72733,400.0,141.834025,0.5516,F0,5929.0,0.168
3.309,9.2,531.0,3.348237,0.029322,M4 +/- 0.5,3297.0,-0.31
3.39,16.4,512.0,3.348968,0.0301,M4,3194.0,0.05
1.25,4.1,347.0,17.66484,0.101,M2.5 V,3759.0,-0.24
1.33,7.4,297.0,28.17232,0.137,M2.5 V,3759.0,-0.24
15.098,1595.4986,3646.0,0.67247414,0.01791,F,6540.0,0.068
2.69,9.13,666.0,9.2292005,0.078,K5 V,4580.0,0.12
7.27,41.89,306.0,95.5,0.371,K5 V,4580.0,0.12
2.19,6.37,395.0,7.851928,0.057,M4.5 V,3342.0,0.03
14.359,899.45439,1802.0,3.3773512,0.05064,F4 V,6630.0,0.282
11.321,875.61726,348.0,260.79,0.828,G5,5695.0,0.253
3.51,26.0,1860.0,1.1947268,0.02234,G V,5634.0,0.14
3.03,13.8,805.0,10.695264,0.08911,K0 V,5298.0,-0.217
1.402,3.4,1311.0,1.2730991,0.02118,K2V,5059.0,-0.114
2.18,6.7,696.0,8.465651,0.0749,K2V,5059.0,-0.114
1.52,2.68,458.0,7.397225,0.0559,M2.5 V,3433.0,-0.39
2.363,4.8,519.0,15.66858,0.105,K5 V,4375.0,-0.29
2.83,13.31,1509.0,3.73659,0.0482,F9-F9.5,6005.0,-0.1
17.374,200.2319,2410.0,3.39775,0.048,F,6120.0,0.26
1.71,4.23,493.0,13.475853,0.0943,K8 V,4026.0,-0.47
18.103,122.68177,1387.0,4.880974,0.0607,F9 V,6100.0,-0.15
2.77,8.8,531.0,3.6977104,0.0345,M2 V,3514.0,-0.29
1.206,1.58,581.0,3.3601538,0.03197,M,3506.0,-0.2
2.355,6.15,488.0,5.6605731,0.04526,M,3506.0,-0.2
2.133,4.78,387.0,11.379573,0.0721,M,3506.0,-0.2
1.42,4.53,979.0,4.5117244,0.0503,K3 V,5152.0,-0.05
1.88,3.72,475.0,39.361826,0.213,K3 V,5152.0,-0.05
11.4,211.35589,604.0,2.59261842,0.02709,M V,3388.8,0.264
3.82,30.3,1722.0,0.8831331,0.01714,K1.5+/-1,5068.0,0.138
3.2,57.2,1871.0,0.777038,0.0159,K0 V,5251.0,0.256
8.295,82.63539,690.0,3.936551,0.043,M1,3870.0,0.4
11.321,222.47988,750.0,2.154849,0.027,M2,3660.0,0.1
12.0,85.3,759.0,3.438753,0.03845,M0 V,3913.0,0.0
5.14,14.95,582.0,4.6747373,0.043,M2 V,3576.0,0.099
6.0,16.5,463.0,4.5445697,0.0354,M4,3269.0,0.23
7.9,44.0,563.0,4.353326,0.041,M4+/-0.5,3476.0,0.18
3.02,11.0,1441.0,1.348335,0.0229,K V,4960.0,0.37
5.93,20.31,907.0,5.414654,0.058,K V,4960.0,0.37
6.18,38.15,650.0,14.70886,0.113,K V,4960.0,0.37
1.32,2.08,584.0,3.307441,0.0322,M3,3392.0,-0.02
2.08,6.57,368.0,13.175682,0.0809,M3,3392.0,-0.02
12.285,731.00534,605.0,56.39879,0.3081,F V,6096.0,0.14
13.675,788.21445,725.0,3.5819194,0.04,M1.0+/-0.5,3794.0,0.52
2.64,6.7,922.0,5.197576,0.0554,G9 V,5291.0,-0.044
2.68,7.17,981.0,5.19672,0.056,G9 V,5325.0,-0.02
5.09,16.42,674.0,16.06819,0.1189,G9 V,5325.0,-0.02
5.09,14.1,635.0,16.067541,0.117,G9 V,5291.0,-0.044
2.52,5.4,435.0,7.44628,0.0534,M3.5 V,3422.0,-0.19
12.17,637.0,705.0,15.266446,0.118,G8/G9,5433.0,0.05
12.53,732.0,318.0,225.11781,0.768,F7 V,6096.0,0.08
6.8,959.84179,347.0,82.6869,0.349,K V,5170.0,0.16
9.42,2946.26933,191.0,482.8191,1.152,K V,5170.0,0.16
11.68,4096.80817,1677.0,7.24599,0.0888,F,6264.0,0.342
11.097,486.2799,1370.0,10.33111,0.097,G,5735.0,0.26
8.474,212.94503,624.0,1.52275959,0.01845,M4.5+/-0.5,3390.0,0.3
8.7,86.7,694.0,1.5227591,0.01808,M3.5 V,3260.0,0.27
1.166,1.42,1617.0,0.548177,0.01189,K6 V,4440.0,0.12
6.25,32.7,1040.0,6.3085044,0.06614,G2 V,5749.0,0.15
11.882,1036.12061,906.0,20.33003,0.158,F8 V,6300.0,0.12
11.545,147.15455,687.0,1.2652328,0.0159,M V,3322.0,0.27
11.6,343.0,737.0,1.630757,0.0199,M4.0,3430.0,0.0
11.9,170.4,675.0,2.930289,0.034,M3+/-1,3586.0,-0.03
9.303,127.13136,565.0,6.387597,0.052,M0.5 V,3659.0,0.376
10.3,58.7,947.0,10.590547,0.098,G V,6000.0,0.09
3.52,11.8,1242.0,4.77271,0.057,G V,6000.0,0.09
11.31,419.5335,441.0,75.12375,0.332,G3 V,5700.0,-0.21
12.173,1147.36055,1061.0,14.574071,0.1291,F V,6466.0,-0.004
12.229,1910.14873,1180.0,6.9839095,0.0723,G V,5925.0,-0.069
1.425,2.0,2310.0,0.4465688,0.0106,G9 V,5372.0,-0.4
2.91,5.39,800.0,10.778831,0.0884,G9 V,5372.0,-0.4
2.82,13.2,598.0,25.7124,0.158,G9 V,5372.0,-0.4
2.55,12.6,415.0,77.03,0.328,G9 V,5372.0,-0.4
4.91,20.0,513.0,47.73022,0.249,G7 V,5485.0,0.0
1.09,4.3,708.0,1.4344555,0.018288,M3.5 +/- 1.0,3325.0,0.03
1.03,4.0,707.0,0.8574347,0.010777,M5.0,3075.0,0.3
13.675,371.85924,1890.0,4.023687,0.055,F,6110.0,0.28
14.347,333.71983,1750.0,2.392679,0.036,F,6110.0,0.28
18.977,138.25536,1666.0,4.6615983,0.0678,F2 V,6850.0,-0.1
9.236,96.30201,1388.0,6.402513,0.0708,F6 V,6400.0,0.09
2.27,4.45,674.0,2.598902,0.0295,M1 V,3681.0,0.07
2.26,3.65,553.0,4.6955507,0.0437,M1 V,3681.0,0.07
1.92,5.2,482.0,7.1027268,0.0576,M1 V,3681.0,0.07
5.25,23.6,635.0,1.977143,0.025,M2 V,3514.0,0.17
13.115,392.83788,1252.0,11.2366,0.1038,F8,6295.0,0.0
1.992,5.72,1056.0,4.884765,0.0618,G,5585.0,-0.04
2.5,10.5,641.0,17.46819,0.122,K0 V,5278.0,-0.27
2.28,9.79,1038.0,5.6057,0.06,G,5450.0,0.01
2.63,9.32,800.0,12.2737,0.1011,G,5450.0,0.01
1.85,4.0,514.0,8.24661,0.0652,M1 V,3709.0,-0.2
2.02,5.3,415.0,15.6653,0.1,M1 V,3709.0,-0.2
15.4,878.0,1561.0,4.633611,0.06,F3 V,6643.0,0.0
2.94,7.6,686.0,11.197259,0.0903,K3 V,4869.0,-0.09
2.62,23.5,469.0,34.976145,0.193,K3 V,4869.0,-0.09
2.926,18.467,1253.0,1.392978,0.02177,K4 V,4600.0,-0.092
1.704,4.53,871.0,3.81673,0.0422,K V,4552.0,-0.284
2.587,9.6,665.0,8.59545,0.075,K V,4552.0,-0.284
9.169,120.45697,995.0,8.3249113,0.0888,F9/G0,5995.0,0.01
14.067,349.61125,1529.0,3.2797178,0.04435,G0,5842.0,0.153
11.994,301.9385,1397.0,10.62656,0.092,F,6261.0,0.24
3.186,16.137,1317.0,3.183792,0.041657,G V,5626.0,0.08
2.765,9.1,941.0,1.8237305,0.02636,K V,4435.0,0.175
18.94,645.17,2190.0,2.849375,0.0457,F2,6900.0,-0.03
15.8,158.91,1560.0,3.585722,0.0506,F6,6400.0,0.2
17.127,473.547,2508.0,0.925542,0.01985,F8 V,6110.0,0.06
12.745,404.263,1516.0,1.7554137,0.02918,G8,5475.0,0.32
10.761,572.094,900.0,7.87288,0.075,K2,5070.0,0.28
12.162,611.797,1140.0,9.289715,0.0917,F9,6055.0,-0.09
10.536,38.1396,770.0,5.72149,0.055,K6,4430.0,0.02
11.097,156.37236,992.0,3.72247967,0.04375,K3 V,4900.0,0.12
15.793,150.96925,1496.0,4.54216875,0.05885,G1,5890.0,0.1
15.009,562.24127,2043.0,1.5487743,0.02851,G0,5940.0,0.14
11.444,87.5585,1001.0,10.02165,0.09459,F9,6038.0,-0.11
16.141,163.36462,1729.0,4.0460435,0.05453,F6,6410.0,0.16
15.693,390.9309,1600.0,2.49979,0.0363,G5,5650.0,0.14
16.511,1541.4755,1880.0,3.6112706,0.0514,F5,6450.0,-0.05
20.905,375.99289,2358.0,1.2749255,0.02544,F6 V,6459.0,0.13
14.773,285.72917,1520.0,2.9776412,0.04263,G5,5740.0,0.18
13.899,190.698,1400.0,3.37265,0.0449,F9,6050.0,-0.02
10.761,88.9924,1480.0,3.2888,0.0449,G2,5800.0,0.17
10.424,317.83,1100.0,5.748145,0.0628,G1,5900.0,0.15
9.976,390.9309,833.0,11.55098,0.1012,G6,5625.0,0.26
13.675,85.8141,1460.0,5.322023,0.0607,G0,6030.0,-0.18
10.099,136.03056,682.0,7.1335164,0.0674,K4 V,4686.0,0.15
9.752,130.3103,763.0,7.133521,0.067,K4,4775.0,0.22
1.841,6.26,1329.0,1.01153624,0.01833,K4 V,4686.0,0.15
13.563,368.6828,1790.0,2.176423,0.0345,G4,5700.0,0.29
8.967,37.18611,910.0,5.924262,0.062,K0,5310.0,0.2
16.141,775.5052,1320.0,2.2359835,0.0323,K0,5260.0,0.12
13.563,854.9627,1540.0,3.310651,0.0469,F9,5900.0,0.29
17.15,266.9772,2000.0,2.052868,0.0347,F8,6010.0,0.26
9.528,139.8452,1260.0,2.2783152,0.0316,K2 V,5200.0,0.18
10.088,282.8687,1200.0,1.7690381,0.0261,K2 V,4900.0,-0.04
12.498,87.40325,1404.0,4.60273,0.0549,G4,5702.0,0.092
8.093,92.48853,940.0,8.80381,0.0845,G,5460.0,0.11
11.994,2688.8418,1460.0,5.644207,0.0694,F8,6218.0,0.156
12.666,98.5273,1290.0,4.533471,0.055,G1,5871.0,0.1
17.374,123.9537,1700.0,3.332609,0.048,G0,5914.0,0.34
5.717,40.68224,970.0,3.836169,0.0453,K3,4910.0,0.24
11.938,182.43442,1339.0,3.9516205,0.0529,G2 V,5838.0,0.34
11.994,886.7457,1590.0,3.656333,0.0517,F6 V,6350.0,0.24
15.468,174.8065,1850.0,3.840401,0.0538,F9,6120.0,0.22
12.218,88.35674,1119.0,3.7684952,0.0452,K0 V,5298.0,0.27
11.209,1652.716,910.0,9.62468,0.0871,K0,5300.0,0.28
12.644,676.9779,1610.0,1.7771255,0.02818,G2 V,5806.0,-0.01
14.123,209.13214,1624.0,3.465509,0.04823,G6,5599.0,0.33
7.062,32.10083,1270.0,5.44354,0.0641,F9 V,6050.0,0.19
17.71,2542.64,2329.0,2.0219596,0.0365,F1 V,7000.0,0.1
16.814,133.4886,1340.0,4.153658,0.0519,F9 V,6000.0,-0.01
14.617,178.30263,1604.0,5.6114118,0.0681,F8,6110.0,0.06
10.985,344.52772,1642.0,3.8186244,0.0504,G0,5965.0,0.04
17.598,149.3801,1740.0,5.477433,0.0694,F1 V,6900.0,-0.1
13.451,1172.7927,1880.0,1.38665318,0.0248,G3,5800.0,0.16
14.404,1102.8701,1842.0,1.3866529,0.02508,G2,5767.0,0.259
14.572,413.179,1490.0,4.2337,0.0559,F6 V,6400.0,0.09
13.54,314.6517,1571.0,3.0652907,0.04403,F7,6229.0,0.15
16.87,271.74465,1721.0,3.899052,0.0535,F9,5941.0,0.164
17.71,161.45764,1142.0,3.071722,0.03957,K2,5017.0,0.25
20.288,527.5978,2470.0,3.3448285,0.0558,A1 IV-V,9360.0,0.21
13.899,286.047,1540.0,3.409264,0.048,F7 V,6600.0,0.1
13.271,95.03117,1186.0,4.5195064,0.05427,G2,5839.0,0.09
9.528,47.03884,1479.0,3.3769848,0.0451,G5,5638.0,0.27
16.477,159.55066,1111.0,4.1117771,0.04632,G9,5313.0,-0.31
14.908,181.1631,1480.0,5.1817,0.0627,G0 V,6000.0,0.12
14.011,311.4734,1160.0,9.38755,0.0904,G0 V,5900.0,-0.02
12.89,317.83,1500.0,5.367753,0.0663,F6 IV-V,6400.0,-0.02
13.787,731.009,1620.0,2.8786765,0.0408,G0 V,5910.0,0.14
16.41,44.17815,1254.0,6.2463345,0.0676,F9,6078.0,-0.06
16.388,98.841,1379.0,4.8996284,0.06,F9,5940.0,-0.008
12.554,177.9848,1430.0,3.53269,0.0468,G1 V,6000.0,-0.05
14.796,324.18498,1660.0,2.7566,0.04,G0,5950.0,-0.02
15.177,285.717,1473.0,3.40884,0.0445,F8,6084.0,-0.2
13.597,288.26,1468.0,3.40883,0.04469,F8,6150.0,-0.29
12.33,276.5121,1337.0,2.423804,0.03453,G8 V,5420.0,-0.003
11.119,318.46566,1170.0,3.126096,0.0405,K2 V,5100.0,0.5
13.159,607.0553,1636.0,1.43036763,0.02335,G6 V,5600.0,-0.3
12.218,502.15,1753.0,1.6284296,0.02683,G4 V,5880.0,0.0
14.24,146.2,1315.0,1.7497798,0.0272,K2 V,5000.0,0.03
18.528,202.131,1759.0,3.6936411,0.04987,F9,6100.0,-0.27
12.24,181.473,1216.0,4.617101,0.05458,G6,5600.0,0.12
10.267,213.573,1251.0,2.838971,0.0386,G6,5600.0,-0.25
15.36,282.86,1270.0,5.01718,0.0561,G2 V,5800.0,-0.45
8.687,274.276,670.0,7.919585,0.0697,K5 V,4650.0,-0.15
9.64,163.358,1320.0,4.3050011,0.0531,G1 V,5900.0,-0.04
14.247,403.945,1689.0,1.5732918,0.02648,G7,5400.0,-0.08
12.464,492.62,1480.0,2.3114243,0.0334,G6,5600.0,-0.07
13.9,301.93,1490.0,5.084298,0.06206,G0,5911.0,0.22
9.113,82.632,963.0,3.8681382,0.04525,K5,4715.0,0.144
13.047,187.512,1387.0,3.7130203,0.04853,G4,5763.0,-0.006
16.37,712.545,2049.0,2.9036747,0.04619,F8,6059.0,0.14
14.24,491.3763,2210.0,2.2167421,0.03708,F7,6250.0,-0.06
13.002,597.5,1790.0,4.08722,0.05512,F9,6036.0,0.14
17.486,301.9385,1910.0,2.13775,0.037,F9,5970.0,0.39
14.235,340.06,1710.0,2.484193,0.0375,F9,6100.0,0.07
20.512,292.4036,2160.0,1.809886,0.033,F7,6250.0,0.23
20.781,284.1386,2228.0,1.80988198,0.033,F7,6329.0,0.366
17.15,270.15415,1716.0,3.662392,0.0519,F5,6600.0,0.03
18.719,394.1092,2190.0,2.705782,0.0447,F5,6490.0,0.12
11.657,95.349,1120.0,4.971252,0.059,G8,5510.0,0.29
10.559,220.565,797.0,8.5234865,0.0771,K0,5314.0,0.0
19.055,177.98,1772.0,4.954,0.06431,F6,6431.0,-0.08
11.657,1875.197,1120.0,3.3564227,0.0427,K3,5130.0,0.15
18.271,200.2329,1840.0,3.916243,0.0562,F6,6430.0,0.11
11.545,425.8922,1160.0,2.798581,0.037,K3,4920.0,0.19
16.376,255.85315,1871.0,2.1746742,0.0348,F7,6280.0,0.0
17.901,467.2101,1942.0,2.7325321,0.04211,F4,6700.0,0.07
19.28,143.653,1604.0,3.9501907,0.055,F8,6153.0,0.26
13.56,359.13,1570.0,2.184673,0.03416,G2,5630.0,0.14
13.45,152.55,1285.0,3.4252602,0.0453,G8,5540.0,0.14
12.67,419.52,1555.0,2.07276,0.03303,G5,5640.0,0.23
12.33,263.79,1180.0,2.96264,0.036,G7,5525.0,-0.6
12.33,883.53,1480.0,5.75251,0.0717,F8,6180.0,0.21
16.7,1274.44,1500.0,3.352057,0.047,F6 V,6250.0,-0.5
15.278,355.9696,2000.0,1.0187068,0.01855,K2 V,5000.0,0.2
1.24,2.53,996.0,0.5734745,0.01,M2.5 V,3542.0,-0.17
2.043,6.26,790.0,6.00127,0.05706,K3.5 V,4716.0,-0.47
12.89,365.5045,1244.0,4.187732,0.0508,G8 V,5510.0,0.25
23.203,1398.452,1577.0,3.7650007,0.0815,F5,6720.0,-0.07
15.39,225.34147,1743.0,2.8641424,0.04421,G0 V,6250.0,0.432
2.042,4.82,1170.0,6.2679,0.06839,G0 V,6037.0,0.08
